,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
17,3916592,中端网络路由器,华三（H3C）,H3C SR6608主机+双主控+双电源,上海出入境检验检疫局,3,161790.0,上海从维信息技术有限公司,2016-05-20,16:49:06,485370.0,2016
21,3724837,虚拟化,浪潮,Inspur VMware vSphere 5企业增强版,中华人民共和国上海海事局,12,25000.0,上海汇策电子系统集成有限公司,2016-07-21,14:18:18,300000.0,2016
22,3724837,虚拟化,浪潮,Inspur VMware vSphere 5企业增强版,中华人民共和国上海海事局,16,23000.0,上海汇策电子系统集成有限公司,2016-07-21,14:15:17,368000.0,2016
24,3724836,虚拟化,浪潮,Inspur VMware vSphere 5企业版,中国水产科学研究院东海水产研究所,2,24007.5,上海汇策电子系统集成有限公司,2016-07-26,12:51:15,48015.0,2016
29,3918779,园区接入交换机（百兆） 低档,思科cisco,SF300-48,交通运输部东海航海保障中心上海通信中心,2,4839.0,上海万聚电子科技有限公司,2016-06-17,16:46:09,9678.0,2016
30,3918800,低端网络路由器,思科cisco,Cisco 2911,上海市浦东新区气象局,1,17961.0,上海沐高网络科技有限公司,2016-03-03,11:12:39,17961.0,2016
31,3917893,机架式服务器中、低档,Lenovo（联想）,ThinkServer RD650,中国水产科学研究院东海水产研究所,1,25022.0,上海汇策电子系统集成有限公司,2016-07-26,12:47:41,25022.0,2016
32,3917893,机架式服务器中、低档,Lenovo（联想）,ThinkServer RD650,同济大学,1,25022.0,上海群立电脑科技有限公司,2016-07-01,10:53:12,25022.0,2016
33,3916603,园区接入交换机（百兆） 中档及以上,华三（H3C）,H3C S3110-52TP主机,中华人民共和国上海海事局,1,6900.0,上海博胜佳欣科技有限公司,2016-06-23,10:43:33,6900.0,2016
34,3916634,园区接入交换机（千兆）,华三（H3C）,H3C S5110-52P主机,中华人民共和国闵行海事局,4,9000.0,上海海拓信息技术有限公司,2016-06-17,09:38:26,36000.0,2016
35,3916633,园区接入交换机（千兆）,华三（H3C）,H3C S5110-52P-PWR主机,上海出入境检验检疫局,14,14400.0,上海从维信息技术有限公司,2016-05-18,14:00:12,201600.0,2016
40,3730534,安全管理软件,中晟,中晟易键通信息系统运维保障服务器版软件,北京市城市管理综合行政执法局科技信息中心,5,18600.0,中晟易键通（上海）科技发展有限公司,2016-03-21,16:03:54,93000.0,2016
44,3917215,防火墙产品（千兆）,华为,USG6530,交通运输部东海航海保障中心上海海事测绘中心,2,57001.0,上海龙田数码科技有限公司,2016-07-20,10:05:41,114002.0,2016
45,3917215,防火墙产品（千兆）,华为,USG6530,东华大学（原中国纺织大学）,2,57000.0,上海恒驰信息系统有限公司,2016-07-12,14:59:51,114000.0,2016
46,3917216,防火墙产品（千兆）,华为,USG6550,中国科学院上海药物研究所,1,81426.0,上海恒驰信息系统有限公司,2016-03-07,14:47:55,81426.0,2016
47,3917060,防火墙产品（千兆）,深信服,NGAF-1300（V5.0）,中华人民共和国洋山港海事局,1,61571.0,上海承蓝电子科技有限公司,2016-03-09,13:48:37,61571.0,2016
48,3917240,低端网络路由器,华为,AR2220E+1端口GE Combo WAN卡+8口百兆电口及1端口千兆电口卡,上海出入境边防检查总站,1,46702.0,上海恒驰信息系统有限公司,2016-05-24,16:14:43,46702.0,2016
49,3917056,无线控制器,深信服,WAC-1100（v3.0）,中国科学院上海应用物理研究所,1,29542.0,上海承蓝科技股份有限公司,2016-07-22,10:01:33,29542.0,2016
50,3919042,无线接入点,华为,AP2030DN,上海海关学院,180,2622.0,上海承蓝科技股份有限公司,2016-04-29,12:19:59,471960.0,2016
51,3917685,无线接入点,信锐,NAP-4600,上海国家会计学院,145,5650.0,上海华敏鼎燊通讯设备有限公司,2016-01-14,12:06:56,819250.0,2016
52,3917054,无线接入点,深信服,AP-360-P（v3.0）,中国科学院上海应用物理研究所,3,2350.0,上海承蓝科技股份有限公司,2016-07-22,10:01:33,7050.0,2016
53,3917053,无线接入点,深信服,AP-360（v3.0）,中国科学院上海应用物理研究所,55,2860.0,上海承蓝科技股份有限公司,2016-07-22,10:01:33,157300.0,2016
54,3916600,无线接入点,华三（H3C）,H3C EWP-WA4320i-ACN,中华人民共和国浦东海事局,10,3000.0,上海博胜佳欣科技有限公司,2016-05-04,14:42:38,30000.0,2016
55,3917825,上网行为管理系统,网康,WK-I335,上海市闵行区气象局,1,29800.0,上海睿领信息技术有限公司,2016-01-20,13:55:17,29800.0,2016
56,3917481,上网行为管理系统,华为,ASG2050,国家海洋局东海海洋环境调查勘察中心,1,10630.0,萃群实业（上海）有限公司,2016-04-05,14:33:26,10630.0,2016
57,3917482,上网行为管理系统,华为,ASG2200 ,交通运输部东海航海保障中心上海通信中心,1,65373.0,上海恒驰信息系统有限公司,2016-06-21,15:21:14,65373.0,2016
58,3917075,上网行为管理系统,深信服,NC-450(V6.0),中华人民共和国上海海事局,1,104617.0,上海承蓝科技股份有限公司,2016-07-29,14:53:03,104617.0,2016
59,3917074,上网行为管理系统,深信服,NC-130(V6.0),上海市地震局,1,41242.0,上海蓝道信息技术有限公司,2016-02-26,11:30:15,41242.0,2016
60,3723401,杀毒软件,江民科技,江民网络版杀毒软件V16.0 扩容Windows服务器版,交通运输部东海航海保障中心上海通信中心,12,450.0,万雍科技(上海)有限公司,2016-06-17,15:21:52,5400.0,2016
61,3919297,网络附加存储（NAS）低档,群晖synology,DS1815+,中国证券监督管理委员会上海证券监管专员办事处,1,29800.0,北京百德科技有限公司,2016-07-19,17:13:46,29800.0,2016
62,3919408,网络附加存储（NAS）中高档,Infortrend（普安）,NAS 3012R1CN,上海市气象科学研究所,1,78000.0,上海晓轩信息技术有限公司,2016-06-21,16:05:13,78000.0,2016
63,3921352,磁盘阵列高档,戴尔,Dell Compellent SC8000,上海国家会计学院,1,639581.0,上海中隽电子科技发展有限公司,2016-06-16,13:47:20,639581.0,2016
64,3917188,磁盘阵列高档,惠普,HP StoreServ 8400,国家海洋局东海信息中心,1,599800.0,上海蕊心信息科技有限公司,2016-05-26,10:49:53,599800.0,2016
65,3921354,磁盘阵列低档,戴尔,Dell Storage SCv2000,中国科学院上海应用物理研究所,1,70640.0,上海承蓝科技股份有限公司,2016-06-14,10:17:43,70640.0,2016
66,3919404,磁盘阵列低档,Infortrend（普安）,ESDS 1012,同济大学,1,43900.0,上海有卅信息科技有限公司,2016-08-02,18:00:20,43900.0,2016
