3917892 交通运输部长江口航道管理局 3 12,390.00 上海群立电脑科技有限公司 2016-03-08 14:14:21 
3921331 国家海洋局东海预报中心 1 16,296.00 上海承蓝科技股份有限公司 2016-07-14 11:04:42 
3917169 中国科学院上海天文台 1 19,737.00 上海汇策电子系统集成有限公司 2016-07-19 12:04:29 
3921367 中国科学院上海应用物理研究所 1 12,783.00 上海山屹实业有限公司 2016-07-18 14:15:26 
3921367 中国科学院上海应用物理研究所 4 12,783.00 上海山屹实业有限公司 2016-05-26 14:12:51 
3919059 同济大学 1 35,658.00 上海龙田数码科技有限公司 2016-03-01 15:52:06 
3919060 中华人民共和国上海机场出入境边防检查站 1 30,436.00 上海恩韦司信息系统有限公司 2016-06-01 11:48:54 
3921361 同济大学 6 3,743.00 上海同济科教技术物资有限公司 2016-05-25 07:34:40 
3921361 同济大学 3 3,743.00 上海港讯电子科技有限公司 2016-05-23 08:58:14 
3919055 上海海关学院 30 9,047.00 萃群实业（上海）有限公司 2016-05-13 13:34:42 
3921363 中国科学院上海应用物理研究所 1 6,350.00 上海山屹实业有限公司 2016-03-11 10:53:11 
3919058 中国科学院上海光学精密机械研究所 4 14,865.00 上海山屹实业有限公司 2016-07-11 11:33:33 
3921343 上海国家会计学院 2 12,845.00 上海中隽电子科技发展有限公司 2016-06-16 13:47:20 
3919357 中国气象局上海台风研究所 6 17,160.00 上海盛举信息科技有限公司 2016-06-27 10:59:47 
3921341 上海财经大学 8 23,313.00 上海中隽电子科技发展有限公司 2016-06-24 13:57:32 
3921341 同济大学 5 23,313.00 上海仪电鑫森科技发展有限公司 2016-05-18 17:04:06 
3919342 中国气象局上海台风研究所 2 72,410.00 上海盛举信息科技有限公司 2016-06-29 20:14:48 
3916534 上海出入境检验检疫局 2 81,350.00 北京优兆科技有限公司 2016-06-12 10:18:30 
3921345 中国科学院上海药物研究所 1 29,770.00 萃群实业（上海）有限公司 2016-04-15 09:49:47 
3921348 东华大学（原中国纺织大学） 1 23,810.00 上海惠衡科技发展有限公司 2016-07-18 14:00:58 
3921348 中国科学院上海药物研究所 1 23,810.00 上海港讯电子科技有限公司 2016-05-12 14:27:22 
3730657 中国极地研究中心 100 775.00 上海互联网软件有限公司 2015-12-11 09:54:44 
3729871 上海交通大学 1 265,000.00 北京久其软件股份有限公司 2016-05-11 11:03:09 
3728982 上海市杨浦区国家税务局 1 138,000.00 上海凯石信息技术有限公司 2015-04-03 10:47:57 
3728570 国务院台湾事务办公室秘书局 2 123,000.00 上海中信信息发展股份有限公司 2015-12-18 15:17:08 
3728570 中共中央政策研究室 1 103,500.00 上海中信信息发展股份有限公司 2015-03-25 10:11:36 
3728570 环境保护部东北环境保护督查中心 1 125,000.00 上海中信信息发展股份有限公司 2014-11-26 12:01:15 
3728570 中共中央政策研究室 1 103,500.00 上海中信信息发展股份有限公司 2014-10-13 11:03:03 
3728569 中共中央政策研究室 5 8,000.00 上海中信信息发展股份有限公司 2015-03-25 10:11:36 
3726771 上海海关学院 1 325,000.00 上海泰信科技有限公司 2014-10-31 11:27:40 
3726287 国家土地督察上海局 1 29,400.00 北京捷泰天域信息技术有限公司 2014-09-22 10:43:00 
3726261 国家土地督察上海局 1 238,000.00 北京捷泰天域信息技术有限公司 2014-09-22 10:43:00 
3726260 国家土地督察上海局 1 126,000.00 北京捷泰天域信息技术有限公司 2014-09-22 10:43:00 
3725072 中国气象局上海台风研究所 1 60,000.00 广州拓波软件科技有限公司 2014-12-09 10:14:07 
3724686 上海海关学院 1 180,000.00 上海传益信息技术有限公司 2015-04-28 10:14:41 
3916631 同济大学 20 4,800.00 上海汉澄电子设备有限公司 2016-05-12 10:26:58 
3919053 中国科学院上海应用物理研究所 1 9,505.00 上海山屹实业有限公司 2016-03-25 16:02:57 
3919053 中国科学院上海药物研究所 1 9,505.00 上海恒驰信息系统有限公司 2016-03-07 14:41:37 
3918805 上海市气象信息与技术支持中心 2 72,226.00 上海亚太蓝星计算机信息技术有限公司 2016-01-20 17:02:30 
3921400 中华人民共和国上海海事局 1 65,400.00 南京南方电讯有限公司 2016-08-02 13:28:30 
3916705 中华人民共和国杨浦海事局 1 94,800.00 上海恒驰信息系统有限公司 2016-05-20 17:06:46 
3723326 中华人民共和国嘉兴海事局 5 565.00 万宗网络科技（上海）有限公司 2016-05-11 16:19:38 
3723325 中华人民共和国嘉兴海事局 90 76.00 万宗网络科技（上海）有限公司 2016-05-11 16:19:38 
3723324 中华人民共和国嘉兴海事局 1 2,980.00 万宗网络科技（上海）有限公司 2016-05-11 16:19:38 
3922678 中国科学院上海硅酸盐研究所 1 930.00 北京开莱兴业科技有限公司 2016-07-11 17:13:21 
3922678 中国科学院上海硅酸盐研究所 1 930.00 北京开莱兴业科技有限公司 2016-07-06 08:37:35 
3922678 中国科学院上海硅酸盐研究所 1 930.00 北京开莱兴业科技有限公司 2016-07-06 08:37:18 
3922678 中国科学院上海硅酸盐研究所 1 930.00 北京开莱兴业科技有限公司 2016-07-06 08:36:59 
3922157 农业部东海区渔政局 1 950.00 上海易颜居网络科技有限公司 2016-05-31 09:08:10 
3921938 中国科学院上海有机化学研究所 1 2,450.00 上海群立电脑科技有限公司 2016-03-15 13:18:04 
3730558 中国科学院上海微系统与信息技术研究所 1 78,720.00 北京众和永业科技发展有限公司 2015-08-18 10:42:54 
3730557 中国科学院上海生命科学研究院（蛋白质中心） 1 44,983.00 北京连邦软件股份有限公司 2015-07-31 09:54:47 
3727162 上海国家会计学院 1 126,500.00 中经网数据有限公司 2016-05-03 10:34:18 
3727086 广州民航职业技术学院 1 13,265.00 上海爱可生信息技术股份有限公司 2016-04-25 10:39:30 
3727086 北京市园林科学研究院 1 13,265.00 上海爱可生信息技术股份有限公司 2016-03-14 16:48:08 
