category,,category,model,total_price,number,prop
机架式服务器中、低档,109,机架式服务器中、低档,"曙光, I620-G",1134768.0,66,0.011477635115
机架式服务器中、低档,95,机架式服务器中、低档,"inspur浪潮, NF5280M4",1082265.0,41,0.0109465924028
机架式服务器中、低档,89,机架式服务器中、低档,"Lenovo（联想）, ThinkServer RD450",950137.0,41,0.00961018093147
机架式服务器中、低档,88,机架式服务器中、低档,"Lenovo systemX, System x3650M5",943522.0,37,0.00954327337303
机架式服务器中、低档,112,机架式服务器中、低档,"超云, R5210 G10",860338.0,46,0.00870190703259
机架式服务器中、低档,106,机架式服务器中、低档,"戴尔, Dell PowerEdge R630",744172.0,44,0.00752694355039
机架式服务器中、低档,92,机架式服务器中、低档,"PowerLeader（宝德）, PR2510G2",704280.0,20,0.00712345506639
机架式服务器中、低档,104,机架式服务器中、低档,"惠普, DL360 Gen9",505292.0,21,0.00511078670047
机架式服务器中、低档,113,机架式服务器中、低档,"超云, R6240 G10",504677.0,7,0.00510456626987
机架式服务器中、低档,107,机架式服务器中、低档,"戴尔, Dell PowerEdge R730",472050.0,30,0.00477455978317
机架式服务器中、低档,87,机架式服务器中、低档,"Lenovo systemX, System x3550M5",456722.0,19,0.00461952440057
机架式服务器中、低档,98,机架式服务器中、低档,"华三（H3C）, H3C UIS R390 G2（8SFF主机）",422173.0,14,0.00427007780392
机架式服务器中、低档,91,机架式服务器中、低档,"PowerLeader（宝德）, PR2012GS1-CD1",329660.0,7,0.00333435309421
机架式服务器中、低档,99,机架式服务器中、低档,"华为, RH1288 V3+1*E5-2609处理器+8GB DDR4内存",246918.72,13,0.00249746465464
机架式服务器中、低档,108,机架式服务器中、低档,"曙光, A620",245320.0,15,0.00248129436714
机架式服务器中、低档,111,机架式服务器中、低档,"清华同方, 超强TR730",137246.0,9,0.00138817759136
机架式服务器中、低档,103,机架式服务器中、低档,"思腾合力, IR4200",130760.0,7,0.00132257480616
机架式服务器中、低档,86,机架式服务器中、低档,"LTHPC（联泰集群）, LT-6028R",120000.0,12,0.00121374255689
机架式服务器中、低档,110,机架式服务器中、低档,"汉柏, C640",86000.0,4,0.000869848832439
机架式服务器中、低档,102,机架式服务器中、低档,"思腾合力, IR2200",71160.0,6,0.000719749336236
机架式服务器中、低档,96,机架式服务器中、低档,"云海麒麟, YH-5210V3",57500.0,4,0.000581584975177
机架式服务器中、低档,97,机架式服务器中、低档,"华三（H3C）, H3C UIS R190 G2(8LFF主机)",46200.0,2,0.000467290884403
机架式服务器中、低档,115,机架式服务器中、低档,"金品, KU2455",26160.0,2,0.000264595877402
机架式服务器中、低档,101,机架式服务器中、低档,"强氧, 强氧 RS2700 V3/262016",20000.0,1,0.000202290426149
机架式服务器中、低档,93,机架式服务器中、低档,"ZTE中兴, ZXCLOUD R5300 G3",19057.0,1,0.000192752432556
机架式服务器中、低档,114,机架式服务器中、低档,"金品, KU2235",10000.0,1,0.000101145213074
机架式服务器高档,118,机架式服务器高档,"Lenovo systemX, System x3850X6",7866640.0,79,0.0795672978979
机架式服务器高档,125,机架式服务器高档,"惠普, DL580 Gen9",6981569.0,36,0.0706152284098
机架式服务器高档,123,机架式服务器高档,"华为, RH5885 V3+4*E7-4809处理器+32GB DDR4内存",5212970.65,56,0.0527267027144
机架式服务器高档,126,机架式服务器高档,"戴尔, Dell PowerEdge R930",3541433.0,66,0.0358198995373
机架式服务器高档,120,机架式服务器高档,"inspur浪潮, NF8480M4",3166896.5,41,0.0320316421277
机架式服务器高档,128,机架式服务器高档,"曙光, I840-G20",2262878.0,39,0.0228879277471
机架式服务器高档,121,机架式服务器高档,"inspur浪潮, TS860G3",1189800.0,7,0.0120342574516
机架式服务器高档,127,机架式服务器高档,"曙光, I840-G",692025.0,11,0.00699950160777
机架式服务器高档,130,机架式服务器高档,"超云, R7410 G10",486200.0,9,0.00491768025967
机架式服务器高档,119,机架式服务器高档,"PowerLeader（宝德）, PR4860R",399026.0,4,0.00403595697922
机架式服务器高档,131,机架式服务器高档,"金品, KU4450",380240.0,6,0.00384594558194
机架式服务器高档,122,机架式服务器高档,"华三（H3C）, H3C UIS R690 G2",346520.0,4,0.00350488392345
机架式服务器高档,129,机架式服务器高档,"清华同方, 超强TR930",303000.0,5,0.00306469995615
机架式服务器高档,117,机架式服务器高档,"LTHPC（联泰集群）, LT-8049-TR",266000.0,6,0.00269046266778
机架式服务器高档,116,机架式服务器高档,"IBM, Power System S822LC",251998.0,1,0.00254883914043
机架式服务器高档,124,机架式服务器高档,"思腾合力, IR4202",66200.0,2,0.000669581310552
